epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2265.45,1.37014,2.22688,1.44885,1.25998,0.27354,0.30666,0.26124,0.15473,0.3216,0.30695,0.28008,0.15788,2.04694,3.49017,2.91784,1.79806,0.000763503,0.000763503,0.000763503
78,2295.3,1.32056,2.14942,1.41526,1.26093,0.33525,0.30759,0.28316,0.1376,0.41911,0.23135,0.25692,0.14313,2.0979,3.85413,2.78232,1.80342,0.000755447,0.000755447,0.000755447
79,2324.77,1.2951,2.08876,1.32085,1.21037,0.5288,0.3411,0.34817,0.17234,0.52916,0.29522,0.32237,0.19481,1.96172,3.53183,2.67703,1.74268,0.000747342,0.000747342,0.000747342
80,2353.75,1.22354,1.98981,1.24185,1.18301,0.56993,0.26781,0.28089,0.17134,0.54544,0.2643,0.26194,0.14995,1.9721,3.16729,2.79995,1.75815,0.000739192,0.000739192,0.000739192
81,2382.77,1.29178,2.16309,1.39485,1.2402,0.32061,0.37722,0.30952,0.1717,0.31527,0.37052,0.29533,0.17088,2.0234,3.43529,2.82373,1.74858,0.000730997,0.000730997,0.000730997
82,2411.56,1.28746,2.01057,1.31411,1.24202,0.41203,0.42025,0.34491,0.1644,0.39134,0.35345,0.29889,0.16735,2.19839,3.37985,2.8038,1.77174,0.000722761,0.000722761,0.000722761
83,2440.56,1.23089,1.93622,1.25851,1.20177,0.24409,0.31877,0.27345,0.13944,0.44287,0.30975,0.30436,0.13684,2.12592,3.49928,2.96108,1.82561,0.000714485,0.000714485,0.000714485
84,2470.08,1.31718,2.05227,1.35077,1.23202,0.52049,0.21538,0.24569,0.12926,0.4916,0.20109,0.22901,0.12792,2.0137,3.70658,2.97229,1.76403,0.000706171,0.000706171,0.000706171
85,2498.4,1.2433,2.00806,1.34391,1.2047,0.40316,0.30825,0.31632,0.17446,0.55606,0.24983,0.29538,0.16662,2.08331,3.64933,2.80267,1.78594,0.000697821,0.000697821,0.000697821
86,2529.28,1.24509,1.99985,1.26621,1.19567,0.2505,0.36163,0.31338,0.15089,0.40065,0.34836,0.32196,0.16733,1.9974,3.64799,2.669,1.72777,0.000689437,0.000689437,0.000689437
87,2557.62,1.22701,1.94992,1.22796,1.1845,0.50449,0.33418,0.3355,0.15751,0.4804,0.31638,0.32624,0.18156,1.93756,3.33801,2.83077,1.73405,0.000681022,0.000681022,0.000681022
88,2586.88,1.25291,1.96093,1.24127,1.21503,0.6405,0.28535,0.27566,0.14357,0.64203,0.26952,0.27093,0.13833,2.06442,3.32007,2.86163,1.87128,0.000672577,0.000672577,0.000672577
89,2616.43,1.21345,1.98506,1.22832,1.2058,0.6552,0.3046,0.32195,0.16125,0.56927,0.30681,0.30747,0.14336,2.14389,3.44354,2.85443,1.85692,0.000664104,0.000664104,0.000664104
90,2645.31,1.15448,1.88661,1.23898,1.1273,0.37845,0.32946,0.34156,0.17065,0.36846,0.31684,0.32619,0.18188,1.99722,3.16354,2.71159,1.75302,0.000655607,0.000655607,0.000655607
91,2675.48,1.19613,1.9514,1.17623,1.18558,0.62007,0.28168,0.30588,0.18457,0.58367,0.22677,0.24728,0.15401,2.02298,3.55744,2.84746,1.76655,0.000647085,0.000647085,0.000647085
92,2703.71,1.1525,1.80114,1.22867,1.14477,0.44499,0.34544,0.33212,0.16888,0.40035,0.31861,0.30931,0.1755,2.09416,3.69951,2.87244,1.82396,0.000638543,0.000638543,0.000638543
93,2732.83,1.21171,1.94079,1.19251,1.17108,0.60082,0.2856,0.29168,0.15202,0.5318,0.24395,0.24255,0.13416,2.12416,3.52224,2.99812,1.84742,0.000629981,0.000629981,0.000629981
94,2762.59,1.16128,1.96603,1.31734,1.14096,0.50423,0.33029,0.31121,0.1437,0.47819,0.33858,0.33733,0.15541,1.91104,3.36997,2.70076,1.77817,0.000621403,0.000621403,0.000621403
95,2791.75,1.19687,1.87317,1.1629,1.17438,0.28113,0.27227,0.2233,0.11152,0.30391,0.29262,0.21941,0.12024,2.088,3.5622,2.91295,1.83704,0.000612809,0.000612809,0.000612809
96,2819.86,1.13933,1.91165,1.15767,1.15659,0.38823,0.24746,0.283,0.16462,0.4187,0.40799,0.34057,0.17423,2.09909,3.50004,2.68912,1.80422,0.000604203,0.000604203,0.000604203
97,2848.92,1.15746,1.83575,1.11307,1.1463,0.52733,0.31763,0.34359,0.16372,0.49951,0.31763,0.32311,0.17826,2.08794,4.47423,2.82203,1.79745,0.000595586,0.000595586,0.000595586
98,2878.24,1.16023,1.84294,1.18302,1.16738,0.59074,0.26619,0.29959,0.16397,0.66875,0.22343,0.28228,0.16306,2.04495,3.81018,2.82602,1.7862,0.000586961,0.000586961,0.000586961
99,2907.38,1.15953,1.91202,1.11693,1.15279,0.31185,0.33643,0.31415,0.15785,0.22846,0.36958,0.28038,0.15954,2.03154,3.37211,2.67777,1.80725,0.000578329,0.000578329,0.000578329
100,2937,1.17791,1.84045,1.12022,1.1995,0.69774,0.31478,0.39323,0.20981,0.73573,0.31062,0.36009,0.20339,2.05421,3.29988,2.55654,1.78957,0.000569693,0.000569693,0.000569693
101,2966.66,1.14755,1.802,1.08751,1.12978,0.48605,0.34306,0.3328,0.18022,0.45554,0.32014,0.32816,0.18955,1.97369,3.57734,2.89423,1.7528,0.000561055,0.000561055,0.000561055
102,2997.71,1.12899,1.8071,1.0911,1.1323,0.2533,0.34371,0.28886,0.14793,0.45957,0.31773,0.29736,0.17955,2.0834,3.75695,3.05544,1.85903,0.000552417,0.000552417,0.000552417
103,3026.6,1.17989,1.86754,1.0972,1.16127,0.29337,0.33201,0.27626,0.16961,0.30545,0.34033,0.25005,0.14557,1.96609,3.27386,2.71247,1.72872,0.000543781,0.000543781,0.000543781
104,3056.09,1.14681,1.79811,1.07403,1.13087,0.4446,0.33686,0.35804,0.19253,0.30022,0.37029,0.32248,0.19247,2.00639,3.42598,2.73911,1.85407,0.000535149,0.000535149,0.000535149
105,3083.69,1.13139,1.78525,1.04947,1.12062,0.27517,0.34869,0.31053,0.16709,0.41151,0.29278,0.31042,0.1781,2.07837,3.96928,2.91503,1.88733,0.000526524,0.000526524,0.000526524
106,3112.9,1.10343,1.73722,1.16602,1.14707,0.41743,0.37838,0.34177,0.16166,0.43704,0.37526,0.34539,0.1863,2.18438,3.3023,3.06471,1.87674,0.000517907,0.000517907,0.000517907
107,3141.04,1.15246,1.76086,1.04596,1.12308,0.50895,0.37469,0.3583,0.16473,0.47081,0.34814,0.34043,0.18877,2.10785,3.81536,2.9263,1.8727,0.000509301,0.000509301,0.000509301
108,3170.24,1.0824,1.78393,1.05274,1.12635,0.33867,0.36154,0.32749,0.19008,0.33521,0.31773,0.29093,0.186,2.1676,3.82503,2.72383,1.88806,0.000500707,0.000500707,0.000500707
109,3199.5,1.12159,1.85244,1.06813,1.13405,0.34039,0.34818,0.2831,0.16818,0.3917,0.34626,0.2942,0.15951,2.11687,3.0887,2.55852,1.87379,0.000492129,0.000492129,0.000492129
110,3230.08,1.09774,1.75177,1.0393,1.1205,0.4544,0.3699,0.35477,0.1899,0.4611,0.37501,0.34826,0.2053,2.03024,3.08252,2.78776,1.81052,0.000483567,0.000483567,0.000483567
111,3258.73,1.13694,1.83277,1.19851,1.13394,0.42832,0.34,0.33996,0.18141,0.3783,0.30032,0.29517,0.16896,1.99408,3.27122,2.66908,1.79364,0.000475025,0.000475025,0.000475025
112,3288.25,1.08215,1.75752,0.98706,1.12245,0.6466,0.28152,0.32426,0.17554,0.64336,0.27329,0.30416,0.16127,2.052,3.66236,2.95216,1.81035,0.000466503,0.000466503,0.000466503
113,3317.67,1.06031,1.71119,0.99769,1.10297,0.3591,0.32474,0.31736,0.18513,0.36553,0.32258,0.31275,0.18803,2.08489,3.72862,3.00133,1.84721,0.000458006,0.000458006,0.000458006
114,3347.28,1.05914,1.65692,0.97663,1.10294,0.80828,0.24905,0.30944,0.17263,0.61074,0.27416,0.33156,0.19038,2.02009,3.59135,2.88895,1.81814,0.000449533,0.000449533,0.000449533
115,3377.13,1.08426,1.6571,0.99141,1.09672,0.35398,0.36664,0.30831,0.15747,0.28952,0.29387,0.25572,0.16464,2.20025,3.62239,2.83261,1.90506,0.000441088,0.000441088,0.000441088
116,3405.44,1.13247,1.74392,1.02049,1.1322,0.41795,0.37972,0.32132,0.16996,0.3802,0.34158,0.29172,0.16768,2.15225,3.55247,2.83769,1.86498,0.000432673,0.000432673,0.000432673
117,3435.98,1.11785,1.67353,0.96738,1.13157,0.44698,0.36359,0.32002,0.16007,0.38336,0.34703,0.30217,0.16847,2.09885,3.44491,2.80331,1.82138,0.000424289,0.000424289,0.000424289
118,3464.88,1.01083,1.62346,0.93356,1.07097,0.51932,0.31974,0.33954,0.16966,0.53645,0.31787,0.33101,0.18366,1.91582,3.47809,3.0067,1.73599,0.000415939,0.000415939,0.000415939
119,3494.92,1.04271,1.64681,0.93872,1.08788,0.39018,0.35846,0.30319,0.17173,0.32247,0.28806,0.25427,0.16664,2.02919,3.76855,3.05132,1.80978,0.000407625,0.000407625,0.000407625
