epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1288.04,1.25919,1.86289,1.15472,1.11036,0.46147,0.42417,0.43414,0.26164,0.45344,0.44938,0.42599,0.22361,1.86805,2.71769,2.13504,1.51903,0.00033886,0.00033886,0.00033886
115,1299.32,1.25646,1.82041,1.13851,1.1007,0.40462,0.43933,0.42308,0.2244,0.41465,0.46359,0.41173,0.22157,1.96556,2.64311,2.15095,1.57765,0.000335053,0.000335053,0.000335053
116,1310.86,1.27922,1.86826,1.15049,1.11186,0.39351,0.38251,0.37517,0.212,0.3631,0.36184,0.38586,0.19311,1.96256,2.66837,2.33324,1.57902,0.000331247,0.000331247,0.000331247
117,1321.95,1.27381,1.88025,1.15185,1.09889,0.39577,0.44328,0.41012,0.2221,0.37617,0.41157,0.37155,0.1989,1.9505,2.76498,2.38218,1.55197,0.00032744,0.00032744,0.00032744
118,1333.36,1.25077,1.83751,1.12402,1.1026,0.37426,0.48386,0.43153,0.2376,0.39886,0.44908,0.43425,0.21672,1.90101,2.7427,2.13644,1.51333,0.000323634,0.000323634,0.000323634
119,1344.55,1.24207,1.82247,1.10222,1.0897,0.52623,0.33693,0.39724,0.23257,0.54419,0.36395,0.40075,0.21283,1.9309,2.6912,2.3638,1.53234,0.000319827,0.000319827,0.000319827
120,1355.65,1.23556,1.8147,1.13043,1.09436,0.42238,0.36423,0.39491,0.22503,0.37267,0.41244,0.38723,0.21625,1.83177,2.74849,2.22975,1.50746,0.000316021,0.000316021,0.000316021
121,1366.76,1.22637,1.82057,1.11029,1.09628,0.55615,0.33632,0.379,0.22606,0.34344,0.48878,0.3914,0.21657,1.91641,2.75729,2.23932,1.49552,0.000312214,0.000312214,0.000312214
122,1378.19,1.24155,1.81747,1.092,1.1038,0.45454,0.41202,0.41468,0.22089,0.35759,0.42851,0.38685,0.2037,1.8975,2.71669,2.16966,1.52342,0.000308407,0.000308407,0.000308407
123,1389.17,1.24995,1.83815,1.11453,1.09682,0.68748,0.33693,0.42217,0.21237,0.36119,0.47571,0.41967,0.20396,2.02418,2.71476,2.23138,1.58912,0.000304601,0.000304601,0.000304601
124,1400.33,1.23953,1.78706,1.12047,1.09463,0.43664,0.43811,0.40965,0.21482,0.42866,0.42722,0.40284,0.20927,1.94255,2.76654,2.19808,1.5348,0.000300794,0.000300794,0.000300794
125,1411.59,1.21379,1.7891,1.07121,1.08568,0.34366,0.43703,0.38984,0.22365,0.50452,0.37624,0.4281,0.22816,1.9014,2.61959,2.20149,1.51015,0.000296988,0.000296988,0.000296988
126,1422.57,1.2294,1.80032,1.10044,1.08749,0.3226,0.52027,0.40096,0.2186,0.44016,0.38726,0.38742,0.20882,1.85848,2.64537,2.13379,1.54469,0.000293181,0.000293181,0.000293181
127,1433.7,1.21637,1.79166,1.08796,1.08468,0.4496,0.38747,0.40047,0.23231,0.43007,0.39147,0.41323,0.22046,1.91371,2.71421,2.32799,1.55373,0.000289375,0.000289375,0.000289375
